Pathways	Common-Name	Genes of pathway	Accession-1
PHENYLALANINE-DEG1-PWY	L-phenylalanine degradation I (aerobic)		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).
ANAPHENOXI-PWY	L-phenylalanine degradation II (anaerobic)	YGR087C // YLR134W // YLR044C // YDR380W // YMR170C // YMR169C // G-10421 // G-10422 // YGL202W	YGR087C // YLR134W // YLR044C // YDR380W // YMR170C // YMR169C // YER073W // YOR374W // YGL202W
PWY-5079	L-phenylalanine degradation III	YGR087C // YLR134W // YLR044C // YDR380W // YOL086C // YMR303C // YMR083W // YGL256W // YBR145W // YDL168W // YHR137W // YGL202W	YGR087C // YLR134W // YLR044C // YDR380W // YOL086C // YMR303C // YMR083W // YGL256W // YBR145W // YDL168W // YHR137W // YGL202W
PROSYN-PWY	L-proline biosynthesis I (from L-glutamate)	YER023W // YOR323C // YDR300C // G3O-31093	YER023W // YOR323C // YDR300C // YHR033W
SERSYN-PWY	L-serine biosynthesis I	YOR184W // YER081W // YIL074C // YGR208W	YOR184W // YER081W // YIL074C // YGR208W
SERDEG-PWY	L-serine degradation	YCL064C	YCL064C
HOMOSER-THRESYN-PWY	L-threonine biosynthesis	YHR025W // YCR053W	YHR025W // YCR053W
PWY-5436	L-threonine degradation IV	YEL046C	YEL046C
TRPSYN-PWY	L-tryptophan biosynthesis	YDR007W // YDR354W // YKL211C // YER090W // YGL026C	YDR007W // YDR354W // YKL211C // YER090W // YGL026C
PWY-5651	L-tryptophan degradation to 2-amino-3-carboxymuconate semialdehyde	YDR428C // YJL060W // YBL098W // YLR231C // YJR025C // YJR078W	YDR428C // YJL060W // YBL098W // YLR231C // YJR025C // YJR078W
VALSYN-PWY	L-valine biosynthesis	YJR016C // YJR148W // YHR208W // YLR355C // YCL009C // YMR108W	YJR016C // YJR148W // YHR208W // YLR355C // YCL009C // YMR108W
PWY-6132	lanosterol biosynthesis	YHR072W	YHR072W
PWY3O-4112	leucine degradation	YJR148W // YHR208W // YOL151W // YOL086C // YMR303C // YMR083W // YGL256W // YBR145W // YDL168W // YDL080C	YJR148W // YHR208W // YOL151W // YOL086C // YMR303C // YMR083W // YGL256W // YBR145W // YDL168W // YDL080C
PWY-5076	leucine degradation III	YJR148W // YHR208W // YOL151W // YOL086C // YMR303C // YMR083W // YGL256W // YBR145W // YDL168W // YDL080C	YJR148W // YHR208W // YOL151W // YOL086C // YMR303C // YMR083W // YGL256W // YBR145W // YDL168W // YDL080C
PWY0-501	lipoate biosynthesis and incorporation I	YOR196C // YLR239C // G3O-34034	YOR196C // YLR239C // YPL135W
PWY-7382	lipoate biosynthesis and incorporation IV (yeast)	G3O-31510 // YLR239C // YOR196C	YJL046W // YLR239C // YOR196C
PWY0-522	lipoate salvage I	G3O-31510	YJL046W
MALATE-ASPARTATE-SHUTTLE-PWY	malate/L-aspartate shuttle pathway	YKL106W // YLR027C // YKL029C // YOL126C // YKL085W // YDL078C	YKL106W // YLR027C // YKL029C // YOL126C // YKL085W // YDL078C
PWY3O-1743	mannose degradation	YER003C // YGL253W // YFR053C	YER003C // YGL253W // YFR053C
PWY-6392	<i>meso</i>-butanediol biosynthesis II	YAL060W	YAL060W
PWY-4361-1	methionine salvage pathway	YLR027C // G3O-32717 // G3O-137 // G3O-34257 // G3O-31663	YLR027C // YMR009W // YEL038W // YPR118W // YJR024C
PWY-8458	methylglyoxal degradation IX	G3O-30044	YDR533C
PWY-5458	methylglyoxal degradation V	YML054C // YOL151W // YHR104W // YMR170C // YMR169C // G-10421 // G-10422	YML054C // YOL151W // YHR104W // YMR170C // YMR169C // YER073W // YOR374W
PWY-5456	methylglyoxal degradation VII	YMR170C // YMR169C // G-10421 // G-10422	YMR170C // YMR169C // YER073W // YOR374W
PWY-5386-1	methylglyoxal degradation VIII	YML004C // YDR272W // YOR040W // YDL174C // YEL071W	YML004C // YDR272W // YOR040W // YDL174C // YEL071W
PWY-922	mevalonate pathway I (eukaryotes and bacteria)	YPL028W // YIL160C // YML126C // YML075C // YLR450W // YMR208W // YMR220W // YNR043W // YPL117C	YPL028W // YIL160C // YML126C // YML075C // YLR450W // YMR208W // YMR220W // YNR043W // YPL117C
PWY-7420	monoacylglycerol metabolism	G3O-32893 // G3O-31885 // YOR245C	YMR210W // YKL094W // YOR245C
PWY-7375	mRNA capping I	G3O-30626 // G3O-29167 // G3O-34116	YGL130W // YBR236C // YPL228W
PWY-2301	<i>myo</i>-inositol biosynthesis	YJL153C // YHR046C // G3O-4	YJL153C // YHR046C // YDR287W
PWY-8341	<i>N</i><sup>1</sup>-methyl-<i>N</i><sup>3</sup>-aminocarboxypropyl-pseudouridine-modified rRNA biosynthesis	G3O-29590 // G3O-31136 // YLR175W // G3O-31263 // G3O-33884 // G3O-32309 // G3O-33556	YDL208W // YHR089C // YLR175W // YHR072W-A // snR35 // YLR186W // YOR006C
PWY0-1587	N<sup>6</sup>-L-threonylcarbamoyladenosine<sup>37</sup>-modified tRNA biosynthesis	YDL104C // G3O-32097 // G3O-31618 // G3O-32635 // G3O-30931 // G3O-32010 // G3O-30657	YDL104C // YKR095W-A // YJL184W // YML036W // YGR262C // YKR038C // YGL169W
PWY-5653	NAD biosynthesis from 2-amino-3-carboxymuconate semialdehyde	YGR010W // YLR328W // YHR074W // YFR047C	YGR010W // YLR328W // YHR074W // YFR047C
NADSYN-PWY	NAD <i>de novo</i> biosynthesis II (from tryptophan)	YDR428C // YJL060W // YBL098W // YLR231C // YJR025C // YJR078W // YGR010W // YLR328W // YHR074W // YFR047C	YDR428C // YJL060W // YBL098W // YLR231C // YJR025C // YJR078W // YGR010W // YLR328W // YHR074W // YFR047C
PWY3O-4106	NAD salvage pathway IV (from nicotinamide riboside)	YLR328W // YGR010W // G3O-29302 // G3O-4113	YLR328W // YGR010W // YCL047C // YNL129W
PWY3O-4107	NAD salvage pathway V (PNC V cycle)	YGR010W // YLR328W // YOR209C // YDR242W // YGL037C // YHR074W // G3O-29065 // G3O-30675 // G3O-32005 // G3O-29347 // YDR155C // G3O-31366 // G3O-33934 // G3O-33572 // G3O-29779 // G3O-33473 // G3O-33766 // G3O-29869 // YDL042C	YGR010W // YLR328W // YOR209C // YDR242W // YGL037C // YHR074W // YBR103W // YGL194C // YKR029C // YCR033W // YDR155C // YIL112W // YPL015C // YOR025W // YDR191W // YOL068C // YOR279C // YDR310C // YDL042C
PWY-7268	NAD/NADP-NADH/NADPH cytosolic interconversion (yeast)	G-10420 // YLR174W // YNL241C // G3O-34081 // G3O-30162 // G3O-31684	YPL061W // YLR174W // YNL241C // YPL188W // YEL041W // YJR049C
PWY-7269-YEAST	NAD/NADP-NADH/NADPH mitochondrial interconversion	G3O-34081 // YML120C // G3O-32837 // G3O-29494 // G-10422 // G-10421	YPL188W // YML120C // YMR145C // YDL085W // YOR374W // YER073W
PWY-7269	NAD/NADP-NADH/NADPH mitochondrial interconversion (yeast)	YMR169C // YMR170C // G3O-34081 // G3O-30162 // G3O-31684 // G-10420 // G-10422 // G-10421	YMR169C // YMR170C // YPL188W // YEL041W // YJR049C // YPL061W // YOR374W // YER073W
PWY-6938	NADH repair	G3O-31923 // G3O-33209	YKL151C // YNL200C
PWY3O-96	nicotinamide riboside salvage pathway II	YDR400W	YDR400W
PWY3O-224	nicotinate riboside salvage pathway I	G3O-4113	YNL129W
PWY-7388	octanoyl-[acyl-carrier protein] biosynthesis (mitochondria, yeast)	YKL055C // G3O-31118 // G3O-29006 // YER061C	YKL055C // YHR067W // YBR026C // YER061C
PWY-7291	oleate &beta;-oxidation (isomerase-dependent)	YGL205W // YOR180C // YLR284C	YGL205W // YOR180C // YLR284C
PWY-7307	oleate &beta;-oxidation (reductase-dependent)	YNL202W // YLR284C // YOR180C	YNL202W // YLR284C // YOR180C
PWY-7292	oleate &beta;-oxidation (thioesterase-dependent)	YLR284C // YOR180C // YJR019C	YLR284C // YOR180C // YJR019C
PWY-5996	oleate biosynthesis	YGL055W // YJR019C	YGL055W // YJR019C
PWY-7985	oxalate degradation VI	YOR388C // G3O-30145 // G3O-29157	YOR388C // YEL020C // YBR222C
PWY-5994	palmitate biosynthesis (cytoplasm)	G3O-31118 // YKL182W	YHR067W // YKL182W
PWY3O-1801	palmitoleate biosynthesis	YJR019C // YGL055W	YJR019C // YGL055W
PENTOSE-P-PWY	pentose phosphate pathway	YLR354C // YGR043C // YBR117C // YPR074C // YJL121C // YOR095C // YHR163W // YGR248W // YNL241C // YHR183W	YLR354C // YGR043C // YBR117C // YPR074C // YJL121C // YOR095C // YHR163W // YGR248W // YNL241C // YHR183W
NONOXIPENT-PWY	pentose phosphate pathway (non-oxidative branch)	YLR354C // YGR043C // YBR117C // YPR074C // YJL121C // YOR095C	YLR354C // YGR043C // YBR117C // YPR074C // YJL121C // YOR095C
OXIDATIVEPENT-PWY	pentose phosphate pathway (oxidative branch) I	YHR163W // YGR248W // YNL241C // YHR183W	YHR163W // YGR248W // YNL241C // YHR183W
PERIPLASMA-NAD-DEGRADATION	periplasmic NAD degradation	G3O-310 // YGL067W	YOR155C // YGL067W
PWY-6348	phosphate acquisition	YAR071W // YBR093C // YBR092C // YHR215W // G3O-29451 // G3O-29661	YAR071W // YBR093C // YBR092C // YHR215W // YDL024C // YDR051C
PWY3O-6407	phosphatidate biosynthesis I (the dihydroxyacetone pathway)	YDL052C // G3O-32249 // G3O-34274 // YIL124W // G3O-4104 // YKR067W	YDL052C // YLR099C // YPR139C // YIL124W // YBL011W // YKR067W
PWY3O-6499	phosphatidate biosynthesis II (the glycerol-3-phosphate pathway)	YDL052C // G3O-32249 // G3O-34274 // YIL155C // YOL059W // YDL022W // G3O-4104 // YKR067W	YDL052C // YLR099C // YPR139C // YIL155C // YOL059W // YDL022W // YBL011W // YKR067W
PWY3O-450	phosphatidylcholine biosynthesis I	YHR123W // YNL130C // YLR133W // YDR147W // YGR202C	YHR123W // YNL130C // YLR133W // YDR147W // YGR202C
PWY-6825	phosphatidylcholine biosynthesis V	YGR157W // YJR073C	YGR157W // YJR073C
PWY-7367	phosphatidylcholine resynthesis via glycerophosphocholine	G3O-32654 // G3O-34012	YML059C // YPL110C
PWY4FS-6	phosphatidylethanolamine biosynthesis II	YDR147W // YLR133W // YGR007W // YHR123W	YDR147W // YLR133W // YGR007W // YHR123W
PWY4FS-8	phosphatidylglycerol biosynthesis II (non-plastidic)	YBR029C // G3O-30764 // YDL052C // G3O-32249 // G3O-34274 // G3O-4104 // YKR067W // YIL155C // YCL004W // G3O-31145	YBR029C // YGR046W // YDL052C // YLR099C // YPR139C // YBL011W // YKR067W // YIL155C // YCL004W // YHR100C
PWY-7366	phosphatidylglycerol degradation	G3O-34097	YPL206C
PWY-7625	phosphatidylinositol biosynthesis II (eukaryotes)	YPR113W	YPR113W
PWY3O-242	phosphatidylinositol phosphate biosynthesis	G3O-32431 // G3O-32328 // G3O-29061 // G3O-29083 // YLR240W // G3O-34019 // YDR208W // YNL267W // G3O-343 // G3O-356 // YOL065C // YIL002C // YOR109W // G3O-65 // YFR019W // G3O-32452 // G3O-33309 // G3O-33086 // G3O-30472 // YPR113W	YLR360W // YLR211C // YBR097W // YBR128C // YLR240W // YPL120W // YDR208W // YNL267W // YJL100W // YLR305C // YOL065C // YIL002C // YOR109W // YNL106C // YFR019W // YLR386W // YNL325C // YNL054W // YFR021W // YPR113W
PWY-5669	phosphatidylserine and phosphatidylethanolamine biosynthesis I	YER026C // YGR170W // YNL169C	YER026C // YGR170W // YNL169C
PWY3O-259	phospholipid biosynthesis II (Kennedy pathway)	YDR147W // YLR133W // YGR007W // YHR123W	YDR147W // YLR133W // YGR007W // YHR123W
PWY-7417	phospholipid remodeling (phosphatidate)	G3O-34274 // G3O-32249 // YDL052C // G3O-33618 // G3O-33688 // G3O-32052	YPR139C // YLR099C // YDL052C // YOR081C // YOR175C // YKR089C
PWY-7416	phospholipid remodeling (phosphatidylcholine)	G3O-32052 // G3O-33688 // YNR008W // G3O-34275	YKR089C // YOR175C // YNR008W // YPR140W
PWY-7409	phospholipid remodeling (phosphatidylethanolamine)	G3O-32977 // G3O-33688 // G3O-34275 // YOL011W // YMR008C // YMR006C // G3O-32654 // G3O-34012 // G3O-34097 // G3O-32052	YMR313C // YOR175C // YPR140W // YOL011W // YMR008C // YMR006C // YML059C // YPL110C // YPL206C // YKR089C
LIPASYN-PWY-1	phospholipids degradation	YPL268W // YKR031C	YPL268W // YKR031C
PANTO-PWY	phosphopantothenate biosynthesis I	YIL145C // YHR063C // YBR176W // YDR531W	YIL145C // YHR063C // YBR176W // YDR531W
PWY0-1597	prenylated FMNH<sub>2</sub> biosynthesis	YDR538W	YDR538W
PROUT-PWY	proline degradation	YLR142W // YHR037W	YLR142W // YHR037W
MANNOSYL-CHITO-DOLICHOL-BIOSYNTHESIS	protein <i>N</i>-glycosylation (eukaryotic) initial steps	YBR243C // G3O-29 // G3O-28 // YBR110W // YGL065C // YIL085C // YJL139C // G3O-32029 // G3O-33066 // YNL048W // YBL082C // YNR030W // YNL219C // YOR002W // YOR067C // YGR227W // YPR183W // YPL227C // YOR085W // YGL022W // YEL002C // YMR149W // YML019W // YGL226C-A // YDL232W // YOR103C // YJL002C	YBR243C // YBR070C // YGL047W // YBR110W // YGL065C // YIL085C // YJL139C // YKR061W // YNL029C // YNL048W // YBL082C // YNR030W // YNL219C // YOR002W // YOR067C // YGR227W // YPR183W // YPL227C // YOR085W // YGL022W // YEL002C // YMR149W // YML019W // YGL226C-A // YDL232W // YOR103C // YJL002C
PWY-7918	protein <i>N</i>-glycosylation (yeast) processing in the ER	YGL027C // YBR229C // G3O-29801 // YJR131W	YGL027C // YBR229C // YDR221W // YJR131W
PWY-8323	protein <i>N</i>-glycosylation processing of mannoproteins (<i>cis-Golgi</i>, yeast)	G3O-30552 // YML115C // G3O-33963 // YJR075W // G3O-31617 // YEL036C // G3O-29818 // YBR015C // YJL186W // YER001W // YPL053C // G3O-31961 // G3O-31694	YGL038C // YML115C // YPL050C // YJR075W // YJL183W // YEL036C // YDR245W // YBR015C // YJL186W // YER001W // YPL053C // YKL201C // YJR061W
PWY-8322	protein <i>N</i>-glycosylation processing of proteins targeted for retention in cellular organelles (<i>cis-Golgi</i>, yeast)	G3O-30552 // YER001W	YGL038C // YER001W
PWY-7899	protein NEDDylation	G3O-33922 // G3O-34214 // G3O-32394 // G3O-29913 // G3O-33528 // G3O-34293 // G3O-31511	YPL003W // YPR066W // YLR306W // YDR363W // YOL133W // YPR164W // YJL047C
PWY-7921	protein <I>O</i>-mannosylation I (yeast)	YJR143C // YDL093W // YOR321W // YDL095W // YAL023C // YPR183W // G3O-29145 // G3O-33632 // G3O-30008 // YER001W // G3O-31290 // G3O-30725	YJR143C // YDL093W // YOR321W // YDL095W // YAL023C // YPR183W // YBR205W // YOR099W // YDR483W // YER001W // YIL014W // YGL257C
PWY-7798	protein <i>S</i>-nitrosylation and denitrosylation	YDL168W	YDL168W
PWY-7511-1	protein ubiquitination	G3O-31969 // G3O-34305 // G3O-29938 // G3O-30566 // G3O-30265 // G3O-32938 // G3O-32727 // G3O-29050 // G3O-29667 // G3O-29697 // G3O-30588 // G3O-29766 // G3O-30138 // G3O-33814 // G3O-30839 // G3O-32693 // G3O-32946 // G3O-30288 // G3O-29985 // G3O-31819 // G3O-33465 // G3O-30280 // G3O-29443 // G3O-29074 // G3O-31686 // G3O-32926 // G3O-30734 // G3O-33959 // G3O-33230 // G3O-34271 // G3O-29913 // G3O-33257 // G3O-31189 // G3O-32404 // G3O-34293 // G3O-31511 // G3O-29369 // G3O-32185 // G3O-29485 // G3O-30874 // G3O-31303 // G3O-32617 // G3O-29730 // G3O-32247 // G3O-29200 // G3O-32426 // G3O-33617 // G3O-31317 // G3O-31593 // G3O-32676 // G3O-32437 // G3O-31717 // G3O-29884 // G3O-30447 // G3O-29530 // G3O-29663 // G3O-33528 // G3O-30906 // G3O-30527 // G3O-30614 // G3O-32250 // G3O-28973 // G3O-30483 // G3O-29439 // G3O-31200 // G3O-29831 // G3O-30712 // G3O-32269 // G3O-29718 // G3O-33185 // G3O-31444 // G3O-31830 // G3O-33741	YKL210W // YPR180W // YDR390C // YGL058W // YER100W // YMR264W // YMR022W // YBR082C // YDR059C // YDR092W // YGL087C // YDR177W // YEL012W // YOR339C // YGR133W // YML111W // YMR275C // YER125W // YDR457W // YKL010C // YOL054W // YER116C // YDL013W // YBR114W // YJR052W // YMR247C // YGR003W // YPL046C // YNL230C // YPR135W // YDR363W // YNL261W // YHR154W // YLR320W // YPR164W // YJL047C // YCR066W // YLR024C // YDL074C // YGR184C // YIL030C // YML013W // YDR131C // YLR097C // YBR280C // YLR352W // YOR080W // YIL046W // YJL149W // YML088W // YLR368W // YJR090C // YDR328C // YFL009W // YDL132W // YDR054C // YOL133W // YGR225W // YGL003C // YGL116W // YLR102C // YBL084C // YFR036W // YDL008W // YHR166C // YDR260C // YGL240W // YLR127C // YDR118W // YNL172W // YIR025W // YKL022C // YOR249C
PWY0-662	PRPP biosynthesis	YBL068W // YHL011C // YKL181W // YER099C // YOL061W	YBL068W // YHL011C // YKL181W // YER099C // YOL061W
PWY0-1296	purine ribonucleosides degradation	YNL141W // YLR209C // G3O-32949	YNL141W // YLR209C // YMR278W
PWY-46	putrescine biosynthesis III	YKL184W // YPL111W	YKL184W // YPL111W
PWY-6466	pyridoxal 5'-phosphate biosynthesis II	G3O-32796 // G3O-32795 // G3O-33317 // G3O-33316 // G3O-30407 // G3O-30408	YMR096W // YMR095C // YNL334C // YNL333W // YFL060C // YFL059W
PLPSAL-PWY	pyridoxal 5'-phosphate salvage I	YBR035C // G3O-10 // G3O-33340 // G3O-34264	YBR035C // YEL029C // YNR027W // YPR127W
PWY-7197	pyrimidine deoxyribonucleotide phosphorylation	YJR057W // YKL067W	YJR057W // YKL067W
PWY-7210	pyrimidine deoxyribonucleotides biosynthesis from CTP	YJR057W // YKL067W // YIL066C // YER070W // YJL026W // YGR180C // G3O-30192 // G3O-29558 // YHR144C // YOR074C // G3O-7 // G3O-19 // G3O-35	YJR057W // YKL067W // YIL066C // YER070W // YJL026W // YGR180C // YER005W // YDL166C // YHR144C // YOR074C // YLR043C // YGR209C // YCR083W
PWY-7184	pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis I	G3O-31702 // G3O-30141 // G3O-29341 // YBR252W // YOR074C // YJR057W // YKL067W // YIL066C // YER070W // YJL026W // YGR180C // G3O-30192 // G3O-29558 // G3O-7 // G3O-19 // G3O-35	YJR069C // YEL016C // YCR026C // YBR252W // YOR074C // YJR057W // YKL067W // YIL066C // YER070W // YJL026W // YGR180C // YER005W // YDL166C // YLR043C // YGR209C // YCR083W
PWY-7183	pyrimidine nucleobases salvage I	YHR128W	YHR128W
PWY-7194	pyrimidine nucleobases salvage II	YPR062W // YHR128W	YPR062W // YHR128W
PWY-7193	pyrimidine ribonucleosides salvage I	YLR245C // G3O-29637 // YNR012W	YLR245C // YDR020C // YNR012W
PWY-6556	pyrimidine ribonucleosides salvage II	YLR245C // YDR400W	YLR245C // YDR400W
PWY-7195	pyrimidine ribonucleosides salvage III	YDR400W // YPR062W	YDR400W // YPR062W
PWY-7176	pyrimidine ribonucleotides <i>de novo</i> biosynthesis	YKL024C // YJR057W // YKL067W // YBL039C // YJR103W	YKL024C // YJR057W // YKL067W // YBL039C // YJR103W
PYRUVDEHYD-PWY	pyruvate decarboxylation to acetyl CoA	YFL018C // YNL071W // YER178W // YBR221C	YFL018C // YNL071W // YER178W // YBR221C
PWY-5938	pyruvate fermentation to (<i>R</i>)-acetoin I	YCL009C // YMR108W // YAL060W	YCL009C // YMR108W // YAL060W
PWY-5768	pyruvate fermentation to acetate VIII	YLR044C // YLR134W // YGR087C // G-10421 // G-10422 // G-10420	YLR044C // YLR134W // YGR087C // YER073W // YOR374W // YPL061W
PWY-5486	pyruvate fermentation to ethanol II	YOL086C // YMR303C // YMR083W // YBR145W // YGL256W // YLR044C // YLR134W // YGR087C	YOL086C // YMR303C // YMR083W // YBR145W // YGL256W // YLR044C // YLR134W // YGR087C
DETOX1-PWY-1	reactive oxygen species degradation	YNL229C // YBR244W // YKL026C // YIR038C // G3O-32743 // YHR008C // YJR104C // YDR256C // YGR088W	YNL229C // YBR244W // YKL026C // YIR038C // YMR038C // YHR008C // YJR104C // YDR256C // YGR088W
SAM-PWY	S-adenosyl-L-methionine biosynthesis	YDR502C // YLR180W	YDR502C // YLR180W
PWY-5041	<i>S</i>-adenosyl-L-methionine salvage II	YDR502C // YLR180W // YER043C // YER091C	YDR502C // YLR180W // YER043C // YER091C
PWY-6756	<i>S</i>-methyl-5'-thioadenosine degradation II	G3O-114	YLR017W
PWY3O-230	serine biosynthesis from glyoxylate	YBR263W // YLR058C	YBR263W // YLR058C
PWY-5194	siroheme biosynthesis	G3O-29150 // G3O-32035	YBR213W // YKR069W
PWY-4101	sorbitol degradation	YJR159W // G3O-29621 // YFR053C // YGL253W	YJR159W // YDL246C // YFR053C // YGL253W
BSUBPOLYAMSYN-PWY	spermidine biosynthesis I	YPR069C // YOL052C	YPR069C // YOL052C
ARGSPECAT-PWY	spermine and methylthioadenosine biosynthesis	YLR146C // YOL052C	YLR146C // YOL052C
SPHINGOLIPID-SYN-PWY	sphingolipid biosynthesis (yeast)	YMR296C // YDR062W // G3O-29249 // G3O-32425 // G3O-60 // G3O-30759 // YDR297W // YKL008C // YHL003C // YMR298W // YKL004W // G3O-29917 // YPL057C // YBR036C // G3O-29111 // YDR072C // YMR272C // YBR265W	YMR296C // YDR062W // YBR058C-A // YLR350W // YKL212W // YGR038W // YDR297W // YKL008C // YHL003C // YMR298W // YKL004W // YDR367W // YPL057C // YBR036C // YBR161W // YDR072C // YMR272C // YBR265W
PWY-7119	sphingolipid recycling and degradation (yeast)	YOR171C // YLR260W // YKR053C // YJL134W // YDR294C // YBR183W // YPL087W // YER019W // G3O-32806 // YMR170C // YMR169C // G-10421 // G-10422 // YIL009W // YOR317W // YMR246W // YER015W	YOR171C // YLR260W // YKR053C // YJL134W // YDR294C // YBR183W // YPL087W // YER019W // YMR110C // YMR170C // YMR169C // YER073W // YOR374W // YIL009W // YOR317W // YMR246W // YER015W
PWY3O-355	stearate biosynthesis	YJR019C // G3O-31118	YJR019C // YHR067W
PWY-7424	sterol:steryl ester interconversion	YCR048W // YNR019W // YDR058C // G3O-33620 // G3O-32977 // G3O-32181 // G3O-32117 // YKL140W	YCR048W // YNR019W // YDR058C // YOR084W // YMR313C // YLR020C // YLL012W // YKL140W
PWY-621	sucrose degradation III	YIL162W // YFR053C // YGL253W // YCL040W // YBR196C	YIL162W // YFR053C // YGL253W // YCL040W // YBR196C
PWY-5340	sulfate activation for sulfonation	YJR010W // YKL001C	YJR010W // YKL001C
DETOX1-PWY	superoxide radicals degradation	G3O-32743 // YHR008C // YJR104C // YDR256C // YGR088W	YMR038C // YHR008C // YJR104C // YDR256C // YGR088W
PWY-7229	superpathway of adenosine nucleotides <i>de novo</i> biosynthesis I	YNL220W // YLR359W // YDR226W // YKL024C // YER070W // YJL026W // YGR180C // YKL067W // G3O-7 // G3O-19 // G3O-35	YNL220W // YLR359W // YDR226W // YKL024C // YER070W // YJL026W // YGR180C // YKL067W // YLR043C // YGR209C // YCR083W
ALLANTOINDEG-PWY	superpathway of allantoin degradation in yeast	YIR032C // YIR027C // YIR029W // YBR208C	YIR032C // YIR027C // YIR029W // YBR208C
BRANCHED-CHAIN-AA-SYN-PWY	superpathway of branched chain amino acid biosynthesis	YCL018W // YNL104C // YOR108W // YGL009C // YJR016C // YJR148W // YHR208W // YLR355C // YCL009C // YMR108W // YER086W // YCL064C	YCL018W // YNL104C // YOR108W // YGL009C // YJR016C // YJR148W // YHR208W // YLR355C // YCL009C // YMR108W // YER086W // YCL064C
ALL-CHORISMATE-YEAST-PWY	superpathway of chorismate metabolism	YBR249C // YDR035W // YGL148W // YDR127W // YNR033W // G3O-84 // YNL316C // YPR060C // YGL202W // YBR166C // YDR007W // YDR354W // YKL211C // YER090W // YGL026C // YNL256W // YMR113W // YOR236W	YBR249C // YDR035W // YGL148W // YDR127W // YNR033W // YMR289W // YNL316C // YPR060C // YGL202W // YBR166C // YDR007W // YDR354W // YKL211C // YER090W // YGL026C // YNL256W // YMR113W // YOR236W
ERGOSTEROL-SYN-PWY	superpathway of ergosterol biosynthesis I	YGR175C // YHR190W // YNL280C // YGR060W // YGL001C // YLR100W // YML008C // YMR202W // YLR056W // YMR015C // YGL012W // YJL167W // YPL028W // YIL160C // YML126C // YML075C // YLR450W // YMR208W // YMR220W // YNR043W // YPL117C // YHR072W	YGR175C // YHR190W // YNL280C // YGR060W // YGL001C // YLR100W // YML008C // YMR202W // YLR056W // YMR015C // YGL012W // YJL167W // YPL028W // YIL160C // YML126C // YML075C // YLR450W // YMR208W // YMR220W // YNR043W // YPL117C // YHR072W
PWY-5910	superpathway of geranylgeranyldiphosphate biosynthesis I (via mevalonate)	YPL028W // YIL160C // YML126C // YML075C // YLR450W // YMR208W // YMR220W // YNR043W // YJL167W // YPL117C // YPL069C	YPL028W // YIL160C // YML126C // YML075C // YLR450W // YMR208W // YMR220W // YNR043W // YJL167W // YPL117C // YPL069C
PWY3O-114	superpathway of glutathione metabolism (truncated &gamma;-glutamyl cycle)	YJL101C // YOL049W // G3O-2 // YLR299W	YJL101C // YOL049W // YFR044C // YLR299W
PWY-7228	superpathway of guanosine nucleotides <i>de novo</i> biosynthesis I	YHR216W // YLR432W // YML056C // YMR217W // YDR454C // YER070W // YJL026W // YGR180C // YKL067W // G3O-7 // G3O-19 // G3O-35	YHR216W // YLR432W // YML056C // YMR217W // YDR454C // YER070W // YJL026W // YGR180C // YKL067W // YLR043C // YGR209C // YCR083W
PWY-5920	superpathway of heme <i>b</i> biosynthesis from glycine	YDR232W // YGL040C // YDL205C // YOR278W // YDR047W // YER014W // YOR176W // YDR044W	YDR232W // YGL040C // YDL205C // YOR278W // YDR047W // YER014W // YOR176W // YDR044W
PWY-6293	superpathway of L-cysteine biosynthesis (fungi)	YLR303W // YNL277W // YGR155W // YML082W // YJR130C // G3O-32157 // YAL012W // YFR055W // G3O-31154 // YGL184C	YLR303W // YNL277W // YGR155W // YML082W // YJR130C // YLL058W // YAL012W // YFR055W // YHR112C // YGL184C
SER-GLYSYN-PWY	superpathway of L-serine and glycine biosynthesis I	YOR184W // YER081W // YIL074C // YGR208W // YBR263W // YLR058C	YOR184W // YER081W // YIL074C // YGR208W // YBR263W // YLR058C
PWY-7245	superpathway of NAD/NADP - NADH/NADPH interconversion (yeast)	YLR174W // YNL241C // YMR169C // YMR170C // G3O-34081 // G3O-30162 // G3O-31684 // G-10420	YLR174W // YNL241C // YMR169C // YMR170C // YPL188W // YEL041W // YJR049C // YPL061W
COMPLETE-ARO-YEAST-PWY	superpathway of phenylalanine, tyrosine and tryptophan biosynthesis	YBR249C // YDR035W // YGL148W // YDR127W // YDR007W // YDR354W // YKL211C // YER090W // YGL026C // YPR060C // YGL202W // YBR166C	YBR249C // YDR035W // YGL148W // YDR127W // YDR007W // YDR354W // YKL211C // YER090W // YGL026C // YPR060C // YGL202W // YBR166C
