"","PDB_ID","protein1_name","protein2_name","protein1_synonyms","protein2_synonyms","species1_name","species2_name","species1_TaxID","species2_TaxID","Type","Value","Unit"
"104","2jjs","TYROSINE-PROTEIN PHOSPHATASE NON-RECEPTOR TYPE SUBSTRATE 1","LEUKOCYTE SURFACE ANTIGEN CD47","SIRP ALPHA,SHP SUBSTRATE 1,SHPS-1,INHIBITORY RECEPTOR","CD47,INTEGRIN-ASSOCIATED PROTEIN,IAP,ANTIGENIC SURFACE","HOMO SAPIENS","HOMO SAPIENS","9606","9606","Kd",1.2e-06,"M"
"105","2jjt","TYROSINE-PROTEIN PHOSPHATASE NON-RECEPTOR TYPE SUBSTRATE 1","LEUKOCYTE SURFACE ANTIGEN CD47","SIRP ALPHA,SHP SUBSTRATE 1,SHPS-1,INHIBITORY RECEPTOR","CD47,INTEGRIN-ASSOCIATED PROTEIN,IAP,ANTIGENIC SURFACE","HOMO SAPIENS","HOMO SAPIENS","9606","9606","Kd",1.2e-06,"M"
"106","2jt4","CYTOSKELETON ASSEMBLY CONTROL PROTEIN SLA1","UBIQUITIN","NA","NA","SACCHAROMYCES CEREVISIAE","SACCHAROMYCES CEREVISIAE","4932","4932","Kd",4e-05,"M"
"107","2jti","CYTOCHROME C PEROXIDASE","CYTOCHROME C ISO-1","CCP","NA","SACCHAROMYCES CEREVISIAE","SACCHAROMYCES CEREVISIAE","4932","4932","Kd",5.88e-07,"M"
"108","2ju0","CALCIUM-BINDING PROTEIN NCS-1","PHOSPHATIDYLINOSITOL 4-KINASE PIK1","NA","PI4-KINASE,PTDINS-4-KINASE","SACCHAROMYCES CEREVISIAE","SACCHAROMYCES CEREVISIAE","4932","4932","Kd",1e-07,"M"
"109","2jy6","UBIQUITIN PROTEIN","UBIQUILIN-1","NA","PROTEIN LINKING IAP WITH CYTOSKELETON 1,PLIC-1,","HOMO SAPIENS","HOMO SAPIENS","9606","9606","Kd",2e-05,"M"
"110","2k05","STROMAL CELL-DERIVED FACTOR 1","C-X-C CHEMOKINE RECEPTOR TYPE 4","SDF-1,C-X-C MOTIF CHEMOKINE 12,PRE-B CELL GROWTH-","CXC-R4,CXCR-4,STROMAL CELL- DERIVED FACTOR 1 RECEPTOR,","HOMO SAPIENS","HOMO SAPIENS","9606","9606","Kd",2e-07,"M"
"111","2k5b","HEAT SHOCK PROTEIN HSP 90-ALPHA","HSP90 CO-CHAPERONE CDC37","HSP 86,RENAL CARCINOMA ANTIGEN NY-REN-38","HSP90 CHAPERONE PROTEIN KINASE-TARGETING SUBUNIT,","HOMO SAPIENS","HOMO SAPIENS","9606","9606","Kd",4e-06,"M"
"112","2k6d","SH3 DOMAIN-CONTAINING KINASE-BINDING PROTEIN 1","UBIQUITIN","CBL-INTERACTING PROTEIN OF 85 KDA,HUMAN SRC FAMILY KINASE-","NA","HOMO SAPIENS","HOMO SAPIENS","9606","9606","Kd",0.000171,"M"
"113","2k8f","HISTONE ACETYLTRANSFERASE P300","CELLULAR TUMOR ANTIGEN P53","E1A-ASSOCIATED PROTEIN P300","TUMOR SUPPRESSOR P53,PHOSPHOPROTEIN P53,ANTIGEN","HOMO SAPIENS","HOMO SAPIENS","9606","9606","Kd",2.7e-06,"M"
"114","2kbw","INDUCED MYELOID LEUKEMIA CELL DIFFERENTIATION PROTEIN MCL-","BH3-INTERACTING DOMAIN DEATH AGONIST","BCL-2-RELATED PROTEIN EAT","P22 BID,BID,BH3-INTERACTING DOMAIN DEATH AGONIST P15,P15","HOMO SAPIENS","HOMO SAPIENS","9606","9606","Kd",3.2e-07,"M"
"115","2kqs","SMALL UBIQUITIN-RELATED MODIFIER 1","DEATH DOMAIN-ASSOCIATED PROTEIN 6","SUMO-1,SENTRIN,UBIQUITIN-LIKE PROTEIN SMT3C,SMT3 HOMOLOG","DAXX,HDAXX,FAS DEATH DOMAIN-ASSOCIATED PROTEIN,ETS1-","HOMO SAPIENS","HOMO SAPIENS","9606","9606","Kd",5.53e-05,"M"
"116","2kri","BETA-2-GLYCOPROTEIN 1","LOW-DENSITY LIPOPROTEIN RECEPTOR","BETA-2-GLYCOPROTEIN I,BETA(2)GPI,B2GPI,APOLIPOPROTEIN H,","LDL RECEPTOR","HOMO SAPIENS","HOMO SAPIENS","9606","9606","Kd",4.6e-05,"M"
"117","2ktf","UBIQUITIN","DNA POLYMERASE IOTA","NA","RAD30 HOMOLOG B,ETA2","HOMO SAPIENS","HOMO SAPIENS","9606","9606","Kd",2.3e-05,"M"
"118","2kwi","RAS-RELATED PROTEIN RAL-B","RALA-BINDING PROTEIN 1","NA","RALBP1,RAL-INTERACTING PROTEIN 1,76 KDA RAL-INTERACTING","HOMO SAPIENS","HOMO SAPIENS","9606","9606","Kd",1.84e-07,"M"
"119","2kxh","POLY(U)-BINDING-SPLICING FACTOR PUF60","PEPTIDE OF FAR UPSTREAM ELEMENT-BINDING PROTEIN 1","60 KDA POLY(U)-BINDING-SPLICING FACTOR,FUSE-BINDING","FUSE-BINDING PROTEIN 1,FBP,DNA HELICASE V,HDH V","HOMO SAPIENS","HOMO SAPIENS","9606","9606","Kd",1.4e-05,"M"
"120","2kyg","CAMP-DEPENDENT PROTEIN KINASE TYPE II-ALPHA REGULATORY","PROTEIN CBFA2T1","NA","PROTEIN MTG8,PROTEIN ETO,EIGHT TWENTY ONE PROTEIN,CYCLIN-","HOMO SAPIENS","HOMO SAPIENS","9606","9606","Kd",6.7e-08,"M"
"121","2l0f","UBIQUITIN","DNA POLYMERASE IOTA","NA","NA","HOMO SAPIENS","HOMO SAPIENS","9606","9606","Kd",0.000172,"M"
"122","2l0t","UBIQUITIN","SIGNAL TRANSDUCING ADAPTER MOLECULE 2","NA","STAM-2,HRS-BINDING PROTEIN","HOMO SAPIENS","HOMO SAPIENS","9606","9606","Kd",6.4e-05,"M"
"123","2l1l","CAMP-DEPENDENT PROTEIN KINASE INHIBITOR ALPHA","EXPORTIN-1","PKI-ALPHA,CAMP-DEPENDENT PROTEIN KINASE INHIBITOR,","EXP1,CHROMOSOME REGION MAINTENANCE 1 PROTEIN HOMOLOG,CRM1","HOMO SAPIENS","HOMO SAPIENS","9606","9606","Kd",7e-09,"M"
"124","2l29","INSULIN-LIKE GROWTH FACTOR 2 RECEPTOR VARIANT","INSULIN-LIKE GROWTH FACTOR II","NA","IGF-II,SOMATOMEDIN-A,INSULIN-LIKE GROWTH FACTOR II ALA-25","HOMO SAPIENS","HOMO SAPIENS","9606","9606","Kd",1.53e-08,"M"
"125","2l2l","TRANSCRIPTIONAL REPRESSOR P66-ALPHA","METHYL-CPG-BINDING DOMAIN PROTEIN 2","HP66ALPHA,GATA ZINC FINGER DOMAIN-CONTAINING PROTEIN 2A","METHYL-CPG-BINDING PROTEIN MBD2,DEMETHYLASE,DMTASE","HOMO SAPIENS","HOMO SAPIENS","9606","9606","Kd",1.24e-08,"M"
"126","2leh","SURVIVAL OF MOTOR NEURON PROTEIN-INTERACTING PROTEIN 1","SURVIVAL MOTOR NEURON PROTEIN","SMN-INTERACTING PROTEIN 1,COMPONENT OF GEMS 2,GEMIN-2","COMPONENT OF GEMS 1,GEMIN-1","HOMO SAPIENS","HOMO SAPIENS","9606","9606","Kd",3.3e-09,"M"
"127","2lkm","PHD FINGER PROTEIN 12","MORTALITY FACTOR 4-LIKE PROTEIN 1","PHD FACTOR 1,PF1","MORF-RELATED GENE 15 PROTEIN,PROTEIN MSL3-1,TRANSCRIPTION","HOMO SAPIENS","HOMO SAPIENS","9606","9606","Kd",1.2e-08,"M"
"128","2lnk","MYOSIN HEAVY CHAIN","PROTEIN S100-A4","MYOSIN-9,CELLULAR MYOSIN HEAVY CHAIN,TYPE A,MYOSIN HEAVY","CALVASCULIN,METASTASIN,PLACENTAL CALCIUM-BINDING PROTEIN,","HOMO SAPIENS","HOMO SAPIENS","9606","9606","Kd",4e-09,"M"
"129","2lox","RNA POLYMERASE II TRANSCRIPTION FACTOR B SUBUNIT 1","DNA REPAIR PROTEIN RAD2","GENERAL TRANSCRIPTION AND DNA REPAIR FACTOR IIH SUBUNIT","NA","SACCHAROMYCES CEREVISIAE","SACCHAROMYCES CEREVISIAE","559292","559292","Kd",1.9e-07,"M"
"130","2lp0","HOMEOBOX PROTEIN HOX-C9","GEMININ","HOMEOBOX PROTEIN HOX-3B","NA","HOMO SAPIENS","HOMO SAPIENS","9606","9606","Kd",2.22e-05,"M"
"131","2lpb","MEDIATOR OF RNA POLYMERASE II TRANSCRIPTION SUBUNIT 15","GENERAL CONTROL PROTEIN GCN4","AUTONOMOUS REPLICATION REGULATORY PROTEIN 3,BASAL","AMINO ACID BIOSYNTHESIS REGULATORY PROTEIN","SACCHAROMYCES CEREVISIAE","SACCHAROMYCES CEREVISIAE","559292","559292","Kd",1.01e-05,"M"
"132","2lqc","CALMODULIN","VOLTAGE-DEPENDENT L-TYPE CALCIUM CHANNEL SUBUNIT ALPHA-1C","CAM","CALCIUM CHANNEL,L TYPE,ALPHA-1 POLYPEPTIDE,ISOFORM 1,","HOMO SAPIENS","HOMO SAPIENS","9606","9606","Kd",2.9e-06,"M"
"133","2luh","VACUOLAR PROTEIN SORTING-ASSOCIATED PROTEIN VTA1","VACUOLAR PROTEIN-SORTING-ASSOCIATED PROTEIN 60","VPS20-ASSOCIATED PROTEIN 1","CHARGED MULTIVESICULAR BODY PROTEIN 5","SACCHAROMYCES CEREVISIAE","SACCHAROMYCES CEREVISIAE","559292","559292","Kd",7e-07,"M"
"134","2lvo","UBIQUITIN","E3 UBIQUITIN-PROTEIN LIGASE AMFR","NA","AUTOCRINE MOTILITY FACTOR RECEPTOR,ISOFORM 2,AMF RECEPTOR,","HOMO SAPIENS","HOMO SAPIENS","9606","9606","Kd",1.28e-05,"M"
"135","2lvp","UBIQUITIN","E3 UBIQUITIN-PROTEIN LIGASE AMFR","NA","AUTOCRINE MOTILITY FACTOR RECEPTOR,ISOFORM 2,AMF RECEPTOR,","HOMO SAPIENS","HOMO SAPIENS","9606","9606","Kd",1.34e-05,"M"
"136","2lvq","UBIQUITIN","E3 UBIQUITIN-PROTEIN LIGASE AMFR","NA","AUTOCRINE MOTILITY FACTOR RECEPTOR,ISOFORM 2,AMF RECEPTOR,","HOMO SAPIENS","HOMO SAPIENS","9606","9606","Kd",2.26e-05,"M"
"137","2ly4","HIGH MOBILITY GROUP PROTEIN B1","CELLULAR TUMOR ANTIGEN P53","HIGH MOBILITY GROUP PROTEIN 1,HMG-1","ANTIGEN NY-CO-13,PHOSPHOPROTEIN P53,TUMOR SUPPRESSOR P53","HOMO SAPIENS","HOMO SAPIENS","9606","9606","Kd",3.46e-07,"M"
"138","2m04","BCL-2-LIKE PROTEIN 1","BCL-2-BINDING COMPONENT 3","BCL2-L-1,APOPTOSIS REGULATOR BCL-X","JFY-1,P53 UP-REGULATED MODULATOR OF APOPTOSIS","HOMO SAPIENS","HOMO SAPIENS","9606","9606","Kd",1e-08,"M"
"139","2m0g","SPLICING FACTOR 1","SPLICING FACTOR U2AF 65 KDA SUBUNIT","MAMMALIAN BRANCH POINT-BINDING PROTEIN,BBP,MBBP,","U2 AUXILIARY FACTOR 65 KDA SUBUNIT,HU2AF(65),HU2AF65,U2","HOMO SAPIENS","HOMO SAPIENS","9606","9606","Kd",8.4e-08,"M"
"140","2m49","FIBROBLAST GROWTH FACTOR 2","PROTEIN S100-B","FGF-2,BASIC FIBROBLAST GROWTH FACTOR,BFGF,HEPARIN-BINDING","S-100 PROTEIN BETA CHAIN,S-100 PROTEIN SUBUNIT BETA,S100","HOMO SAPIENS","HOMO SAPIENS","9606","9606","Kd",1e-05,"M"
"141","2m55","CALMODULIN","ALPHA-SYNUCLEIN","CAM","NON-A BETA COMPONENT OF AD AMYLOID,NON-A4 COMPONENT OF","HOMO SAPIENS","HOMO SAPIENS","9606","9606","Kd",3.5e-05,"M"
"142","2mak","STROMAL INTERACTION MOLECULE 1","CALCIUM RELEASE-ACTIVATED CALCIUM CHANNEL PROTEIN 1","NA","PROTEIN ORAI-1,TRANSMEMBRANE PROTEIN 142A","HOMO SAPIENS","HOMO SAPIENS","9606","9606","Kd",0.00031,"M"
"143","2mej","BCL-2-LIKE PROTEIN 1","CELLULAR TUMOR ANTIGEN P53","BCL2-L-1,APOPTOSIS REGULATOR BCL-X","ANTIGEN NY-CO-13,PHOSPHOPROTEIN P53,TUMOR SUPPRESSOR P53","HOMO SAPIENS","HOMO SAPIENS","9606","9606","Kd",1.7e-05,"M"
"144","2mfq","FIBROBLAST GROWTH FACTOR RECEPTOR SUBSTRATE 2","BDNF","FGFR SUBSTRATE 2,FGFR-SIGNALING ADAPTOR SNT,SUC1-","GP145-TRKB,TRK-B,NEUROTROPHIC TYROSINE KINASE RECEPTOR","HOMO SAPIENS","HOMO SAPIENS","9606","9606","Kd",5.2e-06,"M"
"145","2mj5","POLYUBIQUITIN-C","NEXT TO BRCA1 GENE 1 PROTEIN","NA","CELL MIGRATION-INDUCING GENE 19 PROTEIN,MEMBRANE COMPONENT","HOMO SAPIENS","HOMO SAPIENS","9606","9606","Kd",4.3e-06,"M"
"146","2mjw","ADVANCED GLYCOSYLATION END PRODUCT-SPECIFIC RECEPTOR","PROTEIN S100-P","RECEPTOR FOR ADVANCED GLYCOSYLATION END PRODUCTS","MIGRATION-INDUCING GENE 9 PROTEIN,MIG9,PROTEIN S100-E,","HOMO SAPIENS","HOMO SAPIENS","9606","9606","Kd",6.2e-06,"M"
"147","2mnu","EDB","APT","NA","NA","HOMO SAPIENS","HOMO SAPIENS","9606","9606","Kd",2.3e-07,"M"
"148","2mre","POLYUBIQUITIN-C","E3 UBIQUITIN-PROTEIN LIGASE RAD18","NA","POSTREPLICATION REPAIR PROTEIN RAD18,HHR18,HRAD18,RING","HOMO SAPIENS","HOMO SAPIENS","9606","9606","Kd",1.9e-05,"M"
"149","2mur","FANCONI ANEMIA-ASSOCIATED PROTEIN OF 20 KDA","UBIQUITIN","NA","NA","HOMO SAPIENS","HOMO SAPIENS","9606","9606","Kd",9.26e-06,"M"
"150","2mv7","PROTEIN AF-9","HISTONE-LYSINE N-METHYLTRANSFERASE","ALL1-FUSED GENE FROM CHROMOSOME 9 PROTEIN,MYELOID","DOT1-LIKE PROTEIN,HISTONE H3-K79 METHYLTRANSFERASE,H3-K79-","HOMO SAPIENS","HOMO SAPIENS","9606","9606","Kd",1.56e-09,"M"
"151","2mzd","HISTONE ACETYLTRANSFERASE P300","CELLULAR TUMOR ANTIGEN P53","P300 HAT,E1A-ASSOCIATED PROTEIN P300","ANTIGEN NY-CO-13,PHOSPHOPROTEIN P53,TUMOR SUPPRESSOR P53","HOMO SAPIENS","HOMO SAPIENS","9606","9606","Kd",8.77e-07,"M"
"152","2n1d","MRG","MORTALITY FACTOR 4-LIKE PROTEIN 1","MRG-BINDING PROTEIN,UP-REGULATED IN COLON CANCER 4,URCC4","MORF-RELATED GENE 15 PROTEIN,PROTEIN MSL3-1,TRANSCRIPTION","HOMO SAPIENS","HOMO SAPIENS","9606","9606","Kd",6e-08,"M"
"153","2n73","GOLGI RESIDENT PROTEIN GCP60","PHOSPHATIDYLINOSITOL 4-KINASE BETA","ACYL-COA-BINDING DOMAIN-CONTAINING PROTEIN 3,GOLGI COMPLEX-","NA","HOMO SAPIENS","HOMO SAPIENS","9606","9606","Kd",3.2e-07,"M"
"154","2n8j","CALMODULIN","NITRIC OXIDE SYNTHASE","CAM","CONSTITUTIVE NOS,CNOS,EC-NOS,ENDOTHELIAL NOS,ENOS,NOS","HOMO SAPIENS","HOMO SAPIENS","9606","9606","Kd",1.07e-08,"M"
"155","2nbv","PROTEASOMAL UBIQUITIN RECEPTOR ADRM1","UBIQUILIN-2","110 KDA CELL MEMBRANE GLYCOPROTEIN,GP110,ADHESION-","CHAP1,DSK2 HOMOLOG,PROTEIN LINKING IAP WITH CYTOSKELETON","HOMO SAPIENS","HOMO SAPIENS","9606","9606","Kd",9.3e-06,"M"
"156","2odg","BARRIER-TO-AUTOINTEGRATION FACTOR","EMERIN","BREAKPOINT CLUSTER REGION PROTEIN 1","NA","HOMO SAPIENS","HOMO SAPIENS","9606","9606","Kd",5.9e-07,"M"
"157","2onl","MITOGEN-ACTIVATED PROTEIN KINASE 14","MAP KINASE-ACTIVATED PROTEIN KINASE 2","MITOGEN-ACTIVATED PROTEIN KINASE P38 ALPHA,MAP KINASE P38","MAPK-ACTIVATED PROTEIN KINASE 2,MAPKAP KINASE 2,MAPKAPK-2,","HOMO SAPIENS","HOMO SAPIENS","9606","9606","Kd",6e-09,"M"
"158","2ot3","RAB5 GDP","RAS-RELATED PROTEIN RAB-21","RABEX-5,RABAPTIN-5-ASSOCIATED EXCHANGE FACTOR FOR RAB5,","NA","HOMO SAPIENS","HOMO SAPIENS","9606","9606","Kd",1.8e-06,"M"
"159","2ot8","TRANSPORTIN-1","HETEROGENEOUS NUCLEAR RIBONUCLEOPROTEIN M","IMPORTIN BETA-2,KARYOPHERIN BETA-2,M9 REGION INTERACTION","HNRNP M","HOMO SAPIENS","HOMO SAPIENS","9606","9606","Kd",2e-08,"M"
"160","2p1l","APOPTOSIS REGULATOR BCL-X","BECLIN 1","BCL-XL","COILED-COIL MYOSIN-LIKE BCL2-INTERACTING PROTEIN","HOMO SAPIENS","HOMO SAPIENS","9606","9606","Kd",2.3e-06,"M"
"161","2pcc","CYTOCHROME C PEROXIDASE","ISO-1-CYTOCHROME C","NA","NA","SACCHAROMYCES CEREVISIAE","SACCHAROMYCES CEREVISIAE","4932","4932","Kd",1.6e-06,"M"
"162","2pon","BECLIN-1","APOPTOSIS REGULATOR BCL-X","COILED-COIL MYOSIN-LIKE BCL2-INTERACTING PROTEIN","BCL-2-LIKE 1 PROTEIN","HOMO SAPIENS","HOMO SAPIENS","9606","9606","Kd",1.4e-06,"M"
"163","2pop","MITOGEN-ACTIVATED PROTEIN KINASE KINASE KINASE 7-","BACULOVIRAL IAP REPEAT-CONTAINING PROTEIN 4","TGF-BETA-ACTIVATED KINASE 1 AND MAP3K7-BINDING PROTEIN 1,","E3 UBIQUITIN-PROTEIN LIGASE XIAP,IAP-LIKE PROTEIN,HILP,","HOMO SAPIENS","HOMO SAPIENS","9606","9606","Kd",4.2e-06,"M"
"164","2px9","SUMO-ACTIVATING ENZYME SUBUNIT 2","SUMO-CONJUGATING ENZYME UBC9","UBIQUITIN-LIKE 1- ACTIVATING ENZYME E1B,","SUMO-PROTEIN LIGASE,UBIQUITIN-CONJUGATING ENZYME","HOMO SAPIENS","HOMO SAPIENS","9606","9606","Kd",8.74e-05,"M"
"165","2q5d","IMPORTIN BETA-1 SUBUNIT","SNURPORTIN-1","KARYOPHERIN BETA-1 SUBUNIT,NUCLEAR FACTOR P97,IMPORTIN 90","RNA U TRANSPORTER 1","HOMO SAPIENS","HOMO SAPIENS","9606","9606","Kd",1.56e-08,"M"
"166","2qiy","UBP3-ASSOCIATED PROTEIN BRE5","UBIQUITIN CARBOXYL-TERMINAL HYDROLASE 3","BREFELDIN-A SENSITIVITY PROTEIN 5","UBIQUITIN THIOESTERASE 3,UBIQUITIN-SPECIFIC-PROCESSING","SACCHAROMYCES CEREVISIAE","SACCHAROMYCES CEREVISIAE","4932","4932","Kd",1.19e-07,"M"
"167","2qj9","BONE MORPHOGENETIC PROTEIN 2","BONE MORPHOGENETIC PROTEIN RECEPTOR TYPE IA","BMP-2,BMP-2A","SERINE","HOMO SAPIENS","HOMO SAPIENS","9606","9606","Kd",2.4e-09,"M"
"168","2qja","BONE MORPHOGENETIC PROTEIN 2","BONE MORPHOGENETIC PROTEIN RECEPTOR TYPE IA","BMP-2,BMP-2A","SERINE","HOMO SAPIENS","HOMO SAPIENS","9606","9606","Kd",1.1e-09,"M"
"169","2qjb","BONE MORPHOGENETIC PROTEIN 2","BONE MORPHOGENETIC PROTEIN RECEPTOR TYPE IA","BMP-2,BMP-2A","SERINE","HOMO SAPIENS","HOMO SAPIENS","9606","9606","Kd",4.9e-09,"M"
"170","2qna","IMPORTIN SUBUNIT BETA-1","SNURPORTIN-1","KARYOPHERIN SUBUNIT BETA-1,NUCLEAR FACTOR P97,IMPORTIN 90","RNA U TRANSPORTER 1","HOMO SAPIENS","HOMO SAPIENS","9606","9606","Kd",8.3e-08,"M"
"171","2rf9","EPIDERMAL GROWTH FACTOR RECEPTOR","ERBB RECEPTOR FEEDBACK INHIBITOR 1","RECEPTOR TYROSINE-PROTEIN KINASE ERBB-1","MITOGEN-INDUCIBLE GENE 6 PROTEIN,MIG-6","HOMO SAPIENS","HOMO SAPIENS","9606","9606","Kd",1.3e-05,"M"
"172","2rmk","RAS-RELATED C3 BOTULINUM TOXIN SUBSTRATE 1","SERINE","P21-RAC1,RAS-LIKE PROTEIN TC25,CELL MIGRATION-","PRK1","HOMO SAPIENS","HOMO SAPIENS","9606","9606","Kd",1.7e-07,"M"
"173","2rnr","TRANSCRIPTION INITIATION FACTOR IIE SUBUNIT","TFIIH BASAL TRANSCRIPTION FACTOR COMPLEX P62","TFIIE-ALPHA,GENERAL TRANSCRIPTION FACTOR IIE","BASIC TRANSCRIPTION FACTOR 2 62 KDA SUBUNIT,BTF2-","HOMO SAPIENS","HOMO SAPIENS","9606","9606","Kd",1.5e-07,"M"
"174","2rr3","VESICLE-ASSOCIATED MEMBRANE PROTEIN-ASSOCIATED PROTEIN A","OXYSTEROL-BINDING PROTEIN 1","VAMP-A,VAMP-ASSOCIATED PROTEIN A,VAP-A,33 KDA VAMP-","OSBP","HOMO SAPIENS","HOMO SAPIENS","9606","9606","Kd",2.1e-06,"M"
"175","2ruk","CELLULAR TUMOR ANTIGEN P53","GENERAL TRANSCRIPTION FACTOR IIH SUBUNIT 1","TUMOR SUPPRESSOR P53","BASIC TRANSCRIPTION FACTOR 2 62 KDA SUBUNIT,BTF2 P62,","HOMO SAPIENS","HOMO SAPIENS","9606","9606","Kd",2.421e-05,"M"
"176","2rvb","DNA REPAIR PROTEIN COMPLEMENTING XP-C CELLS","GENERAL TRANSCRIPTION FACTOR IIH SUBUNIT 1","XERODERMA PIGMENTOSUM GROUP C-COMPLEMENTING PROTEIN,P125","BASIC TRANSCRIPTION FACTOR 2 62 KDA SUBUNIT,BTF2 P62,","HOMO SAPIENS","HOMO SAPIENS","9606","9606","Kd",1.433e-07,"M"
"177","2v4z","GUANINE NUCLEOTIDE-BINDING PROTEIN G(K) SUBUNIT ALPHA","REGULATOR OF G-PROTEIN SIGNALING 2","G(I) ALPHA-3,GUANINE NUCLEOTIDE-BINDING PROTEIN G K SUBUNIT","G0","HOMO SAPIENS","HOMO SAPIENS","9606","9606","Kd",1.25e-06,"M"
"178","2v6x","VACUOLAR PROTEIN SORTING-ASSOCIATED PROTEIN 4","DOA4-INDEPENDENT DEGRADATION PROTEIN 4","VPS4,PROTEIN END13,DOA4-INDEPENDENT DEGRADATION PROTEIN 6,","VACUOLAR PROTEIN SORTING- ASSOCIATED PROTEIN 2,VPS2,","SACCHAROMYCES CEREVISIAE","SACCHAROMYCES CEREVISIAE","4932","4932","Kd",2.8e-05,"M"
"179","2v8s","CLATHRIN INTERACTOR 1","VESICLE TRANSPORT THROUGH INTERACTION WITH","EPSINR,EPSIN-4,EPSIN-RELATED PROTEIN,","VTI1B,VESICLE TRANSPORT V-SNARE PROTEIN","HOMO SAPIENS","HOMO SAPIENS","9606","9606","Kd",2.2e-05,"M"
"180","2v9t","ROUNDABOUT HOMOLOG 1","SLIT HOMOLOG 2 PROTEIN N-PRODUCT","H-ROBO-1,DELETED IN U TWENTY TWENTY,ROBO1","SLIT-2,SLIT2,SLIT HOMOLOG 2 PROTEIN","HOMO SAPIENS","HOMO SAPIENS","9606","9606","Kd",8.2e-09,"M"
"181","2vay","CALMODULIN","VOLTAGE-DEPENDENT L-TYPE CALCIUM CHANNEL SUBUNIT ALPHA-1S","CAM","CAV1","HOMO SAPIENS","HOMO SAPIENS","9606","9606","Kd",7.9e-09,"M"
"182","2ve7","KINETOCHORE PROTEIN HEC1","KINETOCHORE PROTEIN NUF2","NDC80-SPC25 CHIMERA,HSHEC1,KINETOCHORE-ASSOCIATED PROTEIN","NUF2-SPC24 CHIMERA,HNUF2,HNUF2R,HSNUF2,CELL DIVISION","HOMO SAPIENS","HOMO SAPIENS","9606","9606","Kd",4e-06,"M"
"183","2vyr","MDM4 PROTEIN","HUMAN SINGLE DOMAIN ANTIBODY","P53-BINDING PROTEIN MDM4,MDM2-LIKE P53-BINDING PROTEIN,","NA","HOMO SAPIENS","HOMO SAPIENS","9606","9606","Kd",4.4e-08,"M"
"184","2w83","ADP-RIBOSYLATION FACTOR 6","C-JUN-AMINO-TERMINAL KINASE-INTERACTING PROTEIN","ARF6","JIP4,JNK-INTERACTING PROTEIN 4,JIP-4,JLP,","HOMO SAPIENS","HOMO SAPIENS","9606","9606","Kd",4.2e-07,"M"
"185","2w84","PEROXISOMAL MEMBRANE PROTEIN PEX14","PEROXISOMAL TARGETING SIGNAL 1 RECEPTOR","PEROXISOMAL MEMBRANE ANCHOR PROTEIN PEX14,PEROXIN-14,PTS1","PEROXISOME RECEPTOR 1,PEROXISOMAL C-TERMINAL TARGETING","HOMO SAPIENS","HOMO SAPIENS","9606","9606","Kd",7e-08,"M"
"186","2wel","CALCIUM","CALMODULIN","CALCIUM CALMODULIN-DEPENDENT PROTEIN KINASE TYPE II DELTA,","CAM","HOMO SAPIENS","HOMO SAPIENS","9606","9606","Kd",3e-07,"M"
"187","2wg3","DESERT HEDGEHOG PROTEIN N-PRODUCT","HEDGEHOG-INTERACTING PROTEIN","DESERT HEDGEHOG PROTEIN,DHH,HHG-3","HHIP,HIP,HEDGEHOG-INTERACTING PROTEIN HIP","HOMO SAPIENS","HOMO SAPIENS","9606","9606","Kd",7.36e-08,"M"
"188","2wjv","REGULATOR OF NONSENSE TRANSCRIPTS 1","REGULATOR OF NONSENSE TRANSCRIPTS 2","UPF1,ATP-DEPENDENT HELICASE RENT1,NONSENSE MRNA REDUCING","UPF2,NONSENSE MRNA REDUCING FACTOR 2,UP-FRAMESHIFT","HOMO SAPIENS","HOMO SAPIENS","9606","9606","Kd",2e-07,"M"
"189","2wo2","EPHRIN TYPE-A RECEPTOR","EPHRIN-B2","TYROSINE-PROTEIN KINASE RECEPTOR SEK,RECEPTOR PROTEIN-","EPH-RELATED RECEPTOR TYROSINE KINASE LIGAND 5,LERK-5,HTK","HOMO SAPIENS","HOMO SAPIENS","9606","9606","Kd",1.08e-05,"M"
"190","2wo3","EPHRIN TYPE-A RECEPTOR","EPHRIN-A2","TYROSINE-PROTEIN KINASE RECEPTOR SEK,RECEPTOR PROTEIN-","EPH-RELATED RECEPTOR TYROSINE KINASE LIGAND 6,HEK7-LIGAND,","HOMO SAPIENS","HOMO SAPIENS","9606","9606","Kd",2.3e-06,"M"
"191","2wp3","TITIN","OBSCURIN-LIKE PROTEIN 1","CONNECTIN,RHABDOMYSARCOMA ANTIGEN MU-RMS-40","NA","HOMO SAPIENS","HOMO SAPIENS","9606","9606","Kd",7.94e-07,"M"
"192","2wwk","TITIN","OBSCURIN-LIKE PROTEIN 1","CONNECTIN,RHABDOMYOSARCOMA ANTIGEN MU-RMS-40","NA","HOMO SAPIENS","HOMO SAPIENS","9606","9606","Kd",1.28e-06,"M"
"193","2x1w","VASCULAR ENDOTHELIAL GROWTH FACTOR C","VASCULAR ENDOTHELIAL GROWTH FACTOR RECEPTOR 2","VEGF-C,VASCULAR ENDOTHELIAL GROWTH FACTOR-RELATED PROTEIN,","VEGF RECEPTOR 2,VEGFR-2,KINASE INSERT DOMAIN RECEPTOR,","HOMO SAPIENS","HOMO SAPIENS","9606","9606","Kd",1.6e-08,"M"
